Post_Date,Post_Time,Customer_Name,type_hire,festival,Wanted_Shop,Wanted_District,Wanted_Table_Date,Date_of_week,Wanted_Zone,Wanted_Count,Count_Specified,Raw_Message
2023-08-04,18:28,ง้อง,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-04,ศุกร์,,1,False,มีใครปล่อยโต๊ะรีเพลย์โซนหน้าๆบ้างคะ
2023-08-04,19:32,JIJI,จ้างเฝ้าโต๊ะ,วันปกติ,Hashtags (#),หลังมอ,2023-08-04,ศุกร์,,1,False,หาคนนั่งโต๊ะ#
2023-08-04,19:58,ทาโร่,จ้างเฝ้าโต๊ะ,วันปกติ,Hashtags (#),หลังมอ,2023-08-04,ศุกร์,,1,False,หาคนนั่ง # ครับ
2023-08-05,12:25,เจเจ,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-05,เสาร์,,1,False,หาโต๊ะรีเพโซนกลาง
2023-08-05,12:29,Kami,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-05,เสาร์,,1,False,หาโต๊ะรีเพลค่ะ
2023-08-05,16:08,…..,จ้างเฝ้าโต๊ะ,วันปกติ,,,2023-08-05,เสาร์,,1,False,หาคนนั่งโต๊ะให้งับ  ขอราคาน่ารัก🥹
2023-08-05,18:19,Bb98,จ้างเฝ้าโต๊ะ,วันปกติ,,,2023-08-05,เสาร์,,1,False,หาคนนั่งโต๊ะถนอมค่ะ
2023-08-05,18:38,ชะม้อย,หาโต๊ะ,วันปกติ,Rusty,ในเมือง,2023-08-05,เสาร์,,1,False,"""หาคนปล่อยโต๊ะ rusty ครับ https://line.me/ti/p/2Tyq8AMJDv"""
2023-08-05,18:42,🤑,จ้างเฝ้าโต๊ะ,วันปกติ,Hashtags (#),หลังมอ,2023-08-05,เสาร์,,1,False,หาคนนั่งแฮชค่าา
2023-08-05,19:36,Ngong,จ้างเฝ้าโต๊ะ,วันปกติ,,,2023-08-05,เสาร์,,1,False,หาคนนั่งเบคกิ้งค่ะ
2023-08-05,20:10,Ployyyy,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-05,เสาร์,,2,True,มีใครปล่อยโต๊ะรีเพลมั้ยคะ2โต๊ะค่ะ
2023-08-09,21:38,😽💗🫶🏻,จ้างเฝ้าโต๊ะ,วันปกติ,,,2023-08-09,พุธ,,1,False,หาคนนั่งโต๊ะออนซอนตอนนี้ค่า
2023-08-10,21:46,tties,จ้างเฝ้าโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-11,ศุกร์,,1,False,หาคนนั่งโต๊ะรีเพลพรุ่งนี้ค่ะ
2023-08-11,13:35,[🧬],หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-11,ศุกร์,,1,False,หารีเพลย์ ราคาพร้อมงัด ขอโซนฉำ่
2023-08-11,16:32,mini,หาโต๊ะ,วันปกติ,Bennington,หลังมอ,2023-08-11,ศุกร์,,1,False,มีใครปล่อยโต๊ะเบนมั้ยคะะ
2023-08-12,00:31,Gi,หาโต๊ะ,วันปกติ,,,2023-08-12,เสาร์,,1,False,มีใครมีเลอร์ช่างซ่อมมอไซไหมคะพอดีรถเสียกลางทางคาะ
2023-08-12,00:41,tties,หาโต๊ะ,วันปกติ,SoldOut,หลังมอ,2023-08-12,เสาร์,,1,False,มีใครมีโต๊ะ ยันหว่าน onzone กับโซลเอ้า ตอนนี้มั้ยคะ
2023-08-12,01:22,tties,หาโต๊ะ,วันปกติ,,,2023-08-12,เสาร์,,1,False,มีใครปล่อยโต๊ะต่อมั้ยตะ
2023-08-12,12:12,Subsub,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-12,เสาร์,,1,False,มีใครปล่อยโต๊ะรีเพลมั้ยค้าบบ
2023-08-12,12:54,Subsub,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-12,เสาร์,,3,True,หารีเพล 3 โต๊ะครับ
2023-08-12,13:17,Subsub,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-12,เสาร์,,2,True,มีใครปล่อยโต๊ะรีเพลมั้ยครับ 2 โต๊ะเอาแบบขอบๆไม่ต้องเบียดคนเข้าไปโต๊ะอะครับ
2023-08-12,18:32,[🧬],จ้างวอร์กอิน,วันปกติ,Replayground,หลังมอ,2023-08-12,เสาร์,,1,False,หารีเอาโซนจองไม่เอาวอค
2023-08-12,18:42,Subsub,จ้างเฝ้าโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-12,เสาร์,,1,False,หาคนนั่งโต๊ะรีเพลครับ ขอไมาโกง
2023-08-12,19:07,ruby,จ้างเฝ้าโต๊ะ,วันปกติ,,,2023-08-12,เสาร์,,1,False,หาคนนั่งโต๊ะมาเจนค่า
2023-08-12,19:26,ruby,จ้างเฝ้าโต๊ะ,วันปกติ,,,2023-08-12,เสาร์,,1,False,หาคนนั่งโต๊ะมาเจนตอนนี้ค่ะ
2023-08-12,19:38,Winterfell,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-12,เสาร์,,1,False,หาโต๊ะรีเพครับ
2023-08-13,13:35,May,หาโต๊ะ,วันปกติ,,,2023-08-13,อาทิตย์,,1,False,หาโต๊ะรัตตี้ค่ะ
2023-08-13,18:28,May,จ้างเฝ้าโต๊ะ,วันปกติ,Rusty,ในเมือง,2023-08-13,อาทิตย์,,1,False,หาคนนั่งรัสตี้ให้ค่ะ
2023-08-13,19:31,ar,จ้างเฝ้าโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-13,อาทิตย์,,1,False,หาคนนั่งรีเพลครับ
2023-08-15,18:24,เจ,จ้างเฝ้าโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-15,อังคาร,,1,False,มีคนรับนั่งโต๊ะรีเพลมั้ยครับ
2023-08-18,12:07,Subsub,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-02,เสาร์,,3,True,หาโต๊ะรีเพล 2-3 โต๊ะครับ
2023-08-18,12:07,VVv,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-18,ศุกร์,,3,True,หาโต๊ะรีเพล 3 โต๊ะงับ
2023-08-18,17:22,RJ,จ้างเฝ้าโต๊ะ,วันปกติ,,,2023-08-18,ศุกร์,,1,False,หาคนนั่งสกาเลตค่ะราคาไม่แรง มีโต๊ะแล้วกะเทยลำไย
2023-08-18,18:35,จัสมิน,จ้างเฝ้าโต๊ะ,วันปกติ,Bennington,หลังมอ,2023-08-18,ศุกร์,,1,False,หาคนนั่งเบนค่าา
2023-08-18,19:11,Subsub,จ้างเฝ้าโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-18,ศุกร์,,1,False,หาคนนั่งโต๊ะรีเพลครับ
2023-08-18,19:31,Kakaykakai,จ้างเฝ้าโต๊ะ,วันปกติ,,,2023-08-18,ศุกร์,,1,False,หาคนไปเอาโต๊ะอโลนให้ค่ะ
2023-08-19,08:02,ଓ ♡̷̷۫۫ ꕀ 。,หาโต๊ะ,วันปกติ,Hashtags (#),หลังมอ,2023-08-19,เสาร์,,1,False,หาโต๊ะ # วันนี้ค่ะ
2023-08-19,17:12,นักนั่งโต๊ะ,จ้างเฝ้าโต๊ะ,วันปกติ,Bennington,หลังมอ,2023-08-19,เสาร์,,1,False,หาคนนั่งโต๊ะเบนค่ะ ด่วนฟ
2023-08-19,18:45,มุแง้🥲😔,หาโต๊ะ,วันปกติ,,,2023-08-19,เสาร์,,1,False,มีใครปล่อยโต๊ะแทททูมั้ยคะ ที่ได้โต๊ะแล้วไม่เอาคิว
2023-08-19,18:47,•,หาโต๊ะ,วันปกติ,Bennington,หลังมอ,2023-08-19,เสาร์,,1,False,ใครมีผังโต๊ะเบนนิงตันบ้างคะ
2023-08-19,20:20,ปิ๊กกี้ปุ๊ก,จ้างเฝ้าโต๊ะ,วันปกติ,Hashtags (#),หลังมอ,2023-09-03,อาทิตย์,,1,False,หาคนนั่งโต๊ะ#ถึง3ทุ่มค่ะ
2023-08-19,20:38,มีมี้,หาโต๊ะ,วันปกติ,,,2023-08-19,เสาร์,,1,False,หาโต๊ะแทททูค่ะ
2023-08-25,12:27,Fxxk,หาโต๊ะ,วันปกติ,,,2023-08-25,ศุกร์,,1,False,มีใครปล่อย รัตตี้มั้ยครับ
2023-08-25,13:26,p~,จ้างวอร์กอิน,วันปกติ,Replayground,หลังมอ,2023-08-25,ศุกร์,,1,False,มีใครรับจ้างวอคอินรีเพลไหมคะ
2023-08-25,13:48,neeny,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-25,ศุกร์,,1,False,มีใครปล่อยโต๊ะรีเพลมั้ยคะวันนี้
2023-08-25,14:55,fifi,หาโต๊ะ,วันปกติ,Hashtags (#),หลังมอ,2023-08-25,ศุกร์,,1,False,มีใครปล่อยโต๊ะ #มั้ยคะ
2023-08-25,15:36,`15,หาโต๊ะ,วันปกติ,Hashtags (#),หลังมอ,2023-08-25,ศุกร์,,1,False,หาโต๊ะ #
2023-08-25,15:43,มมม,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-25,ศุกร์,,1,False,มีใครปล่อยโต๊ะรีเพลมั้ยคะ
2023-08-25,17:13,คคคคคคร,หาโต๊ะ,วันปกติ,Hashtags (#),หลังมอ,2023-08-25,ศุกร์,,1,False,มีใครปล่อย#อีกมั้ยคะพ
2023-08-25,20:16,Ployyyy,หาโต๊ะ,วันปกติ,"Hashtags (#), Replayground",หลังมอ,2023-08-25,ศุกร์,,1,True,มีใครปล่อยโต๊ะรีเพล # มั้ยคะ1โต๊ะค่ะ
2023-08-25,20:23,Follfoll,หาโต๊ะ,วันปกติ,Rusty,ในเมือง,2023-08-25,ศุกร์,,1,False,หาโต้ะรัสตี้ค่ะ
2023-08-25,21:02,มุ้มุ้,จ้างเฝ้าโต๊ะ,วันปกติ,,,2023-08-25,ศุกร์,,1,False,หาคนนั่งโต๊ะพร้อมมิตรค่ะ
2023-08-26,12:04,โนเนม,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-26,เสาร์,,5,True,มีใครปล่อยโต๊ะรีเพย์สัก 5 โต๊ะมั้ยครับ
2023-08-26,12:07,Fxxk,หาโต๊ะ,วันปกติ,,,2023-08-26,เสาร์,,1,False,มีใครปล่อยรัตตี้มั้ยครับ
2023-08-26,12:10,ttarn,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-26,เสาร์,,1,False,มีใครปล่อยโต๊ะรีเพลมั้ยคะ
2023-08-26,16:18,Momoli,หาโต๊ะ,วันปกติ,Rusty,ในเมือง,2023-08-26,เสาร์,,1,False,มีใครปล่อยโต๊ะ rusty มั้ยคะ
2023-08-26,16:48,pppppppppppp,หาโต๊ะ,วันปกติ,Rusty,ในเมือง,2023-08-26,เสาร์,,1,False,หาโต๊ะrustyค่ะ
2023-08-26,18:09,T,หาโต๊ะ,วันปกติ,Rusty,ในเมือง,2023-08-26,เสาร์,,1,False,หาโต๊ะrustyค่ะ
2023-08-27,18:01,Ployyyy,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-27,อาทิตย์,,1,True,มีใครปล่อยโต๊ะรีเพลมั้ยคะ1โต๊ะค่ั
2023-08-30,03:53,•,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-08-30,พุธ,,1,False,มีใครปล่อยโต๊ะรีเพลย์ไหมคะ
2023-09-01,12:12,•,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-01,ศุกร์,,1,False,มีใครปล่อยรีเพลอีกไหมคะ
2023-09-01,12:27,mini,หาโต๊ะ,วันปกติ,Rusty,ในเมือง,2023-09-01,ศุกร์,,1,False,มีใครปล่อยรัสตี้มั้ยคะ
2023-09-01,12:57,明,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-01,ศุกร์,,2,True,หาโต๊ะรีเพล2โต๊ะค่า
2023-09-01,16:07,ซอยจุ๊,หาโต๊ะ,วันปกติ,Bennington,หลังมอ,2023-09-01,ศุกร์,,1,False,หาโต๊ะเบนนินตันครับ
2023-09-01,17:02,นักนั่งโต๊ะ,หาโต๊ะ,วันปกติ,Rusty,ในเมือง,2023-09-01,ศุกร์,,1,False,หาโต๊ะรัสตี้ค่ะ
2023-09-01,18:03,J🦋,หาโต๊ะ,วันปกติ,Hashtags (#),หลังมอ,2023-09-01,ศุกร์,,1,False,หาโต้ะ# ค่ะ
2023-09-01,19:02,Subsub,จ้างเฝ้าโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-01,ศุกร์,,1,False,หาคนนั่งโต๊ะรีเพลครับ
2023-09-01,19:12,neeny,จ้างเฝ้าโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-01,ศุกร์,,1,False,หาคนนั่งโต๊ะรีเพลค่ะ
2023-09-01,19:17,Ploysai,หาโต๊ะ,วันปกติ,,,2023-09-01,ศุกร์,,1,False,หาโต้ะสกาเลตค่ะ
2023-09-01,19:17,เจเจ,จ้างเฝ้าโต๊ะ,วันปกติ,,,2023-09-01,ศุกร์,,1,False,หาคนนั่งโต๊ะ ครึ่งชมค่ะ
2023-09-01,20:02,Ploysai,หาโต๊ะ,วันปกติ,,หลังมอ,2023-09-01,ศุกร์,,1,False,หาโต้ะโซนหลังมอค่ะ
2023-09-02,12:05,Fxxk,หาโต๊ะ,วันปกติ,,,2023-09-02,เสาร์,,1,False,ใครปล่อย รัตตี้ครับ
2023-09-02,12:05,":&,&,@:.’ว",หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-02,เสาร์,,1,False,มีใครปล่อยโต๊ะรีเพลมั้ยตะ
2023-09-02,12:34,ruby,หาโต๊ะ,วันปกติ,Rusty,ในเมือง,2023-09-02,เสาร์,,2,True,หาโต๊ะ rusty 2โต๊ะค่า🥺
2023-09-02,12:36,หมูเฮงเฮง.รับจอง,หาโต๊ะ,วันปกติ,Rusty,ในเมือง,2023-09-02,เสาร์,,1,False,หารัสตี้ค่ะ
2023-09-02,13:21,mini,หาโต๊ะ,วันปกติ,Rusty,ในเมือง,2023-09-02,เสาร์,,1,False,มีใครปล่อยโต๊ะรัสตี้มั้ยคะ
2023-09-02,15:48,(?),หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-02,เสาร์,,1,True,หาโต๊ะรีเพล 1 โต๊ะครับโซนไหนก็ได้
2023-09-02,16:04,E,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-02,เสาร์,,2,True,หาโต๊ะรี 2 โต๊ะครับ
2023-09-02,16:05,33_,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-02,เสาร์,,1,False,หาโต๊ะรีเพลครับ
2023-09-02,16:40,RJ,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-02,เสาร์,,2,True,หาโต๊ะรีเพ 2โต๊ะคาะ
2023-09-02,16:52,น้ำใส จุ๊บมั๊วะ,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-02,เสาร์,,1,True,หาโต๊ะรีเพล1โต๊ะค่ะ
2023-09-02,17:37,น้ำใส จุ๊บมั๊วะ,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-01,ศุกร์,,1,False,หาโต๊ะรีเพล1 โตะค่ะ
2023-09-02,18:05,mini,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-02,เสาร์,,1,False,หาโต๊ะรีเพ
2023-09-02,18:10,ruby,หาโต๊ะ,วันปกติ,"Replayground, Bennington",หลังมอ,2023-09-02,เสาร์,,2,True,หาโต๊ะรีเพล เบน 2โต๊ะค่า
2023-09-02,18:19,mini,หาโต๊ะ,วันปกติ,Bennington,หลังมอ,2023-09-02,เสาร์,,1,False,หาโต๊ะเบนค่า
2023-09-02,18:36,ruby,จ้างเฝ้าโต๊ะ,วันปกติ,Bennington,หลังมอ,2023-09-02,เสาร์,,1,False,หาคนนั่งเบนให้ค่ะ 2 คน
2023-09-02,19:19,จัสมิน,หาโต๊ะ,วันปกติ,Bennington,หลังมอ,2023-09-02,เสาร์,,1,False,หาโต๊ะเบนค่า
2023-09-02,19:44,เค้ก 🍰,จ้างเฝ้าโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-02,เสาร์,,1,False,หาคนนั่งโต๊ะรีเพลงับ
2023-09-02,21:45,ขนมปัง,หาโต๊ะ,วันปกติ,SoldOut,หลังมอ,2023-09-02,เสาร์,,1,False,หาโต๊ะโซลเอ้า สู้ทุกราคา
2023-09-02,21:55,RJ,จ้างเฝ้าโต๊ะ,วันปกติ,,,2023-09-02,เสาร์,,1,False,หาคนนั่งจ้ะโอ๋นมีโต้ล่ะ
2023-09-02,21:55,RJ,หาโต๊ะ,วันปกติ,,,2023-09-02,เสาร์,,1,False,มีใครรับไหมคะ
2023-09-02,21:57,RJ,จ้างเฝ้าโต๊ะ,วันปกติ,,,2023-09-02,เสาร์,,1,False,หาคนนั่งค่าบบ
2023-09-07,19:05,นักนั่งโต๊ะ,จ้างเฝ้าโต๊ะ,วันปกติ,,ในเมือง,2023-09-07,พฤหัสบดี,,1,False,หาคนนั่งโต๊ะร้านในเมืองค่ะ ด่วนๆ
2023-09-07,19:06,❤️‍🔥BooksTableKK❤️‍🔥,จ้างเฝ้าโต๊ะ,วันปกติ,,,2023-09-07,พฤหัสบดี,,1,False,หาคนนั่งโต๊ะตะวันแดงค่าาา
2023-09-08,12:04,•,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-08,ศุกร์,,1,False,หาโต๊ะรีเพลค่ะ
2023-09-08,12:09,33_,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-08,ศุกร์,,1,False,หาโต๊ะรีเพลครับ
2023-09-08,12:10,Booboo,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-08,ศุกร์,,3,True,หาโต๊ะรีเพ3โต๊ะค่า
2023-09-08,12:20,น้ำใส จุ๊บมั๊วะ,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-08,ศุกร์,,2,True,หาโต๊ะรีเพล2 โต๊ะค่ะ
2023-09-08,12:36,fr,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-08,ศุกร์,,1,True,หารีเพล1โต๊ะค่ะ
2023-09-08,12:48,เอริ,หาโต๊ะ,วันปกติ,Rusty,ในเมือง,2023-09-08,ศุกร์,,1,True,หาโต๊ะรัสตี้1โต๊ะคับ
2023-09-08,13:39,.12,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-08,ศุกร์,,3,True,หาโต๊ะรีเพ3โต๊ะาคะ
2023-09-08,15:05,33_,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-08,ศุกร์,,2,True,หาโต๊ะรีเพล2โต๊ะ
2023-09-08,16:16,งง,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-08,ศุกร์,,1,False,หาโต๊ะรีไม่แพงค่ะ
2023-09-08,17:13,(?),หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-08,ศุกร์,,2,True,หาโต๊ะรีเพล 2 โต๊ะครีบ
2023-09-08,17:52,สอวอ,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-08,ศุกร์,,1,False,หาโต๊ะรีเพล ค่ะ
2023-09-08,18:11,Winterfell,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-08,ศุกร์,,2,True,หาโต๊ะรีเพ 2 โต๊ะครับ
2023-09-08,18:26,Skelleeylee,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-08,ศุกร์,,1,False,หาโต๊ะรีเพลคับ
2023-09-08,19:11,(?),หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-08,ศุกร์,,1,False,หาโต๊ะรีเพลครับ
2023-09-08,19:25,migel,จ้างเฝ้าโต๊ะ,วันปกติ,,,2023-09-20,พุธ,,1,False,หาคนนั่งโต๊ะเฉด20.30ค่ะ
2023-09-08,19:25,migel,จ้างเฝ้าโต๊ะ,วันปกติ,,,2023-09-30,เสาร์,,1,False,หาคนนั่งโต๊ะเฉด20.30ค่ะ
2023-09-09,12:41,(?),หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-09,เสาร์,,1,False,หาโต๊ะรีเพลโซนม่วงติดทางเดินครับ
2023-09-09,16:43,Ployyyy,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-09,เสาร์,,1,True,มีใครปล่อยโต๊ะรีเพลมั้ยคะ1โต๊ะค่ะ
2023-09-09,16:44,VVv,จ้างวอร์กอิน,วันปกติ,Hashtags (#),หลังมอ,2023-09-09,เสาร์,,1,False,มีคนรับจองโต๊ะ #  ไหมครับ
2023-09-09,19:26,เลม่อน,จ้างเฝ้าโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-09,เสาร์,,1,False,หาคนนั่งโต๊ะรีเพย์รอครับ
2023-09-15,12:08,Toy,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-10-02,จันทร์,,3,True,หาโต๊ะรีเพลย์ 2-3 โต๊ะค่า
2023-09-15,12:11,A,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-15,ศุกร์,,2,True,หาโต๊ะรีเพลย์2โต๊ะค่ะ
2023-09-15,13:48,เบบี้,จ้างวอร์กอิน,วันปกติ,Replayground,หลังมอ,2023-09-15,ศุกร์,,1,False,ใครรับจ้างวอคอิน จองรีเพบ้างคะ
2023-09-15,15:03,33_,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-15,ศุกร์,,2,True,หาโต๊ะรีเพล2โต๊ะครัล
2023-09-15,16:42,จัสมิน,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-15,ศุกร์,,1,False,หาโต๊ะรีเพล
2023-09-15,17:09,RJ,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-15,ศุกร์,,1,True,หาโต๊ะรีเพล1 โต๊ะ
2023-09-15,17:53,กะปิ,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-10-02,จันทร์,,1,False,หาโต้ะรีเพล2 โต้ะคับ
2023-09-15,18:08,TOTTI,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-15,ศุกร์,,1,False,หาโต๊ะรีเพลครับ
2023-09-15,19:03,明,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-15,ศุกร์,,2,True,หารีเพล2โต๊ะค่า
2023-09-15,19:06,กะปิ,จ้างเฝ้าโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-15,ศุกร์,,1,False,หาคนนั่งโต๊ะ รีเพลงับ
2023-09-15,21:37,ᴘʟᴏʏᴊɪ,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-15,ศุกร์,,1,False,มีใครปล่อยโต๊ะรีเพลมั้ยคะ
2023-09-16,17:11,ruby,จ้างเฝ้าโต๊ะ,วันปกติ,Rusty,ในเมือง,2023-09-16,เสาร์,,1,False,หาคนนั่ง Rusty ค่า
2023-09-16,17:56,.12,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-10-02,จันทร์,,1,False,หาโต้ะรีเพ2โต่ะค่ะ
2023-09-16,18:16,ruby,จ้างเฝ้าโต๊ะ,วันปกติ,Rusty,ในเมือง,2023-10-01,อาทิตย์,,1,False,หาคนนั่ง Rusty 1ชั่วโมงค่ะ มีโต๊ะแล้ว
2023-09-16,19:51,😽💗🫶🏻,จ้างเฝ้าโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-16,เสาร์,,1,False,หาคนนั่งรีค่ะ
2023-09-16,20:04,กะปิ,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-10-01,อาทิตย์,,1,False,หารีเพล1 โต้ะคับ
2023-09-22,12:08,———,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-22,ศุกร์,,1,False,หารีเพลโซนฟ้าค่ะ
2023-09-22,14:35,J🦋,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-10-01,อาทิตย์,,1,False,หาโต้ะรีเพล 1โต้ะ
2023-09-22,15:40,น้ำใส จุ๊บมั๊วะ,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-22,ศุกร์,,3,True,หาโต๊ะรีเพล 3โต๊ะค่ะ
2023-09-22,16:56,———,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-22,ศุกร์,,1,True,หาโต๊ะรีเพล1โต๊ะค่ะ
2023-09-22,18:19,———,จ้างวอร์กอิน,วันปกติ,Replayground,หลังมอ,2023-09-22,ศุกร์,,1,False,หารีเพลโซนวอคอินค่ะ
2023-09-22,18:47,เจเจ,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-16,เสาร์,,1,False,หาโต๊ะรีเพข้างๆ 16 n หรือ21n ก็ได้ค่ะ
2023-09-22,18:47,เจเจ,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-21,พฤหัสบดี,,1,False,หาโต๊ะรีเพข้างๆ 16 n หรือ21n ก็ได้ค่ะ
2023-09-22,23:17,งง,หาโต๊ะ,วันปกติ,Replayground,หลังมอ,2023-09-22,ศุกร์,,1,False,ใครมีรูปผังที่นั่งของร้านรีเพลบ้างคะ🥹
